test_filename train_filename dist1 dist2 dist3 dist4 dist5
MB008.jpg image063.jpg 36085.144 36085.144 0.476 0.310 0.407
MB008.jpg image064.jpg 34338.655 34338.655 0.541 0.272 0.436
MB008.jpg image065.jpg 34795.165 34795.165 0.524 0.276 0.439
MB008.jpg image066.jpg 26895.165 26895.165 0.764 0.159 0.556
MB008.jpg image068.jpg 37815.781 37815.781 0.400 0.342 0.387
MB008.jpg image071.jpg 28901.713 28901.713 0.706 0.160 0.555
MB008.jpg image072.jpg 31546.097 31546.097 0.633 0.215 0.491
MB008.jpg image075.jpg 30729.747 30729.747 0.657 0.177 0.531
MB008.jpg image076.jpg 30594.640 30594.640 0.660 0.184 0.527
MB008.jpg image077.jpg 35081.004 35081.004 0.510 0.304 0.412
MB008.jpg image079.jpg 12821.010 12821.010 0.976 0.045 0.795
MB008.jpg image080.jpg 34280.498 34280.498 0.545 0.252 0.451
MB008.jpg image082.jpg 19689.163 19689.163 0.906 0.085 0.677
MB008.jpg image083.jpg 27827.735 27827.735 0.738 0.149 0.570
MB008.jpg image084.jpg 36044.399 36044.399 0.477 0.323 0.395
MB008.jpg image085.jpg 30552.831 30552.831 0.662 0.180 0.525
MB008.jpg image086.jpg 34630.800 34630.800 0.533 0.263 0.436
MB008.jpg image087.jpg 23788.217 23788.217 0.834 0.122 0.630
MB008.jpg image090.jpg 25624.285 25624.285 0.795 0.146 0.588
MB008.jpg image091.jpg 35084.669 35084.669 0.512 0.289 0.432
MB008.jpg image092.jpg 23314.903 23314.903 0.836 0.117 0.628
MB008.jpg image093.jpg 23920.380 23920.380 0.834 0.116 0.643
MB008.jpg image094.jpg 33113.818 33113.818 0.584 0.225 0.486
MB008.jpg image099.jpg 19771.804 19771.804 0.901 0.104 0.666
MB008.jpg image101.jpg 35051.162 35051.162 0.511 0.304 0.419
MB008.jpg image103.jpg 31973.634 31973.634 0.620 0.192 0.508
MB008.jpg image106.jpg 28184.504 28184.504 0.732 0.166 0.555
